Time,Winner,Loser,Result
2026-01-01 16:31:35,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:32:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:32:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:33:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:34:16,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:34:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:35:09,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:36:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:36:52,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:37:35,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:37:54,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:39:16,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:39:32,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:39:35,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:39:48,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:41:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:41:59,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:42:05,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:42:07,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:43:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:44:04,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:44:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:44:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:45:43,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:46:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:47:41,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:48:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:48:29,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:49:13,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:50:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:50:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:50:35,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:50:41,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:51:42,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:52:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:52:32,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:52:42,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:54:00,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:54:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:54:33,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:54:45,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:55:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:55:53,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:56:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:57:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:58:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:58:33,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:59:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:59:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:59:50,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:00:34,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:01:15,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:01:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:01:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:02:41,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:02:47,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:04:00,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:05:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:05:12,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:06:08,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:06:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:07:55,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:08:08,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:08:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:08:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:09:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:09:47,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:10:08,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:10:50,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:12:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:12:36,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:12:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:13:47,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:14:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:14:11,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:16:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:16:07,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:16:58,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:17:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:17:11,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 17:18:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
